profit_yoy,profit_3y,sales_yoy,sales_3y,roce,roic_wacc,roe,opm,pe,ev,fcf_yield,ccc,fcf_sales,accruals,de,int_cov,pledge,momentum,sector,name,ticker,in_n100,in_s30,bfsi,c_plus,recommendation,c_plus_abs,recommendation_abs,reason,badge
0.311352341451828,0.2689588614144012,0.15562574424353426,0.11723108913184443,0.34621106948365415,0.17131022933473128,0.2656831946783125,0.15970472103296202,19.193869,12.962,0.06903600787431653,,0.1533425479596645,-0.07691153360621704,0.03602809470464144,95.99910565989524,0.0,0.003751950034072804,Consumer Cyclical,HERO MOTOCORP LIMITED,HEROMOTOCO.NS,True,False,False,74.11147698999984,BUY,92.14999999999999,BUY,"ROCE 35%, P/E 19.2x vs sector 35.8x, FCF yld 7%, D/E 0.04",[N100]
0.16032826261008815,0.18039786778737144,0.24457430403376357,-0.1921076805328038,0.29198425079860335,0.1272607948806755,0.42592637946658174,0.25631260434056763,11.586117,4.372,0.18085915972253513,-183.94024458192968,0.24289179883138565,-0.09478811161227255,0.6819328451421713,7.779889152810768,0.0,-0.608949768350088,Basic Materials,VEDANTA LIMITED,VEDL.NS,True,False,False,68.83481610268788,BUY,84.55000000000001,BUY,"ROCE 29%, P/E 11.6x vs sector 22.0x, FCF yld 18%, D/E 0.68",[N100]
0.3227951623522889,0.2811209710668201,0.28314513014345555,0.26570413643814605,0.23626197774863272,0.07034780456352036,0.22251039590372748,0.13471737817297705,43.47895,27.638,0.018770614556994993,,0.08242637261320572,-0.0556077082699467,0.01738,19.498328375631658,0.0,0.16179348664471194,Industrials,POLYCAB INDIA LIMITED,POLYCAB.NS,True,False,False,65.49336796936024,HOLD/WAIT,81.4,HOLD/WAIT,"ROCE 24%, P/E 43.5x vs sector 43.5x, FCF yld 2%, D/E 0.02",[N100]
-0.07760246657526049,0.08169131603328039,-0.002605347379650569,0.048714506963204895,2.5,2.399829550166924,0.8366275069281804,0.29877648293577247,36.2306,25.27,0.03538467722964808,,0.2890983142170978,-0.1411264531045531,0.02992847718908409,471.7018469656992,0.0,-0.06311446860447756,Consumer Defensive,COLGATE PALMOLIVE LTD.,COLPAL.NS,True,False,False,65.38076721143085,HOLD/WAIT,72.4,HOLD/WAIT,"ROCE 250%, P/E 36.2x vs sector 46.1x, FCF yld 4%, D/E 0.03",[N100]
0.0898443711420076,0.16081148758206698,0.056039441030616866,0.06443681948723912,0.3260803504304612,0.14466256061894006,0.22210894829380876,0.38241757135658505,35.211773,35.247,0.025476708754674025,,0.2628742560174435,-0.013524038400904312,0.0016,2099.7789291882555,0.0,0.2556048206613628,Industrials,HINDUSTAN AERONAUTICS LTD,HAL.NS,True,False,False,64.66043721405727,HOLD/WAIT,80.0,HOLD/WAIT,"ROCE 33%, P/E 35.2x vs sector 43.5x, FCF yld 3%, D/E 0.00",[N100]
0.05971979443733599,0.11476177625308637,0.11554501873253398,0.13771835423448486,0.4760726550577399,0.27687690097800793,0.3234174294726899,0.3631207284693799,26.634119,20.605,0.032217629310610396,,0.22920251835924052,0.015892094217955708,0.01873628404990088,103.88694173159223,0.0,-0.1226307518638513,Consumer Cyclical,INDIAN RAIL TOUR CORP LTD,IRCTC.NS,True,False,False,63.81952692246995,HOLD/WAIT,75.70000000000002,HOLD/WAIT,"ROCE 48%, P/E 26.6x vs sector 35.8x, FCF yld 3%, D/E 0.02",[N100]
0.1388631576372903,0.09974797824143922,0.3417595576378678,0.21999019635248684,0.2547188060803082,0.0840356918321396,0.21872901824390756,0.3202671730731452,9.716982,7.265,0.025198573961573534,,0.05692395483502811,0.05078973183058017,0.18809077359064985,84.74158415841585,0.0,0.062403353785934756,Basic Materials,NMDC LTD.,NMDC.NS,True,False,False,63.43491553227322,HOLD/WAIT,80.45,BUY,"ROCE 25%, P/E 9.7x vs sector 22.0x, FCF yld 3%, D/E 0.19",[N100]
0.4668404159607249,0.21030716644534309,0.22569856668618615,0.19494168990528205,0.25852695886776533,0.09113588682728153,0.27668450676877493,0.2503731384683612,27.777645,20.364,0.005840408207972087,,0.031038099122600887,,0.5830205971931904,12.948903734155532,0.0,0.3052295860590941,Consumer Cyclical,BAJAJ AUTO LIMITED,BAJAJ-AUTO.NS,True,False,False,63.356020646810805,HOLD/WAIT,78.10000000000001,HOLD/WAIT,"ROCE 26%, P/E 27.8x vs sector 35.8x, FCF yld 1%, D/E 0.58",[N100]
0.16491707572595704,0.23697524323492836,0.23947080111833885,0.174675251484967,0.28264947609930885,0.13874848186289568,0.21972896576315282,0.31219967994875003,35.84178,34.844,0.01707463361733994,,0.15360980295131296,0.022086796362094246,0.02047597325115587,100.28785125122326,0.0,0.12874250795755038,Consumer Cyclical,EICHER MOTORS LTD,EICHERMOT.NS,True,False,False,62.57384560906725,HOLD/WAIT,77.39999999999999,HOLD/WAIT,"ROCE 28%, P/E 35.8x vs sector 35.8x, FCF yld 2%, D/E 0.02",[N100]
5.3687214611872145,0.7527993439438749,0.0928230526789735,0.03613916948222462,0.20874215479717823,0.08653570864175408,0.2230417878524382,0.20627674593626572,12.483963,10.554,0.0339979038365888,,0.057669594642847335,-0.010516323291653688,1.1901592156157237,4.524096385542169,0.0,0.11056741296203532,Basic Materials,JSW STEEL LIMITED,JSWSTEEL.NS,True,True,False,62.124577927410506,HOLD/WAIT,77.0,HOLD/WAIT,"ROCE 21%, P/E 12.5x vs sector 22.0x, FCF yld 3%, D/E 1.19",[S30·N100]
0.9377912578590415,1.297482877705289,0.026359481199897505,-0.011539105645418157,0.24462703506323688,0.08107659556502775,0.2579952373089578,0.08380976288681566,7.5935163,5.594,0.24092329266101764,,0.06960689351453324,-0.10025717167151289,0.5433191448240227,12.79956045744984,0.0,-0.0014756917167320083,Energy,BHARAT PETROLEUM CORP  LT,BPCL.NS,True,False,False,61.90207047760332,HOLD/WAIT,75.90000000000002,HOLD/WAIT,"ROCE 24%, P/E 7.6x vs sector 8.0x, FCF yld 24%, D/E 0.54",[N100]
